sno,time,tv_count,tp_count,target_circle
692.0,01:19.0,2.0,0.0,on/off road
693.0,01:19.9,2.0,0.0,on/off road
695.0,01:20.8,2.0,0.0,on/off road
699.0,01:23.7,1.0,0.0,on/off road
700.0,01:27.4,1.0,0.0,on/off road
702.0,01:27.6,1.0,0.0,on/off road
704.0,01:27.8,1.0,0.0,on/off road
706.0,01:31.3,4.0,0.0,___
707.0,01:32.0,4.0,0.0,___
708.0,01:32.1,4.0,0.0,___
710.0,01:32.2,5.0,0.0,on/off road
711.0,01:32.3,5.0,1.0,on/off road
712.0,01:32.4,5.0,1.0,on/off road
715.0,01:33.2,3.0,1.0,on/off road
717.0,01:33.3,3.0,2.0,on/off road
719.0,01:34.4,3.0,0.0,on/off road
720.0,01:34.4,3.0,0.0,on/off road
721.0,01:34.9,3.0,0.0,on/off road
723.0,01:37.8,2.0,1.0,on/off road
725.0,01:38.0,3.0,0.0,on/off road
729.0,01:38.0,3.0,0.0,on/off road
730.0,01:38.1,2.0,1.0,on/off road
731.0,01:38.1,2.0,1.0,on/off road
734.0,01:38.3,2.0,1.0,on/off road
735.0,01:38.3,2.0,1.0,on/off road
738.0,01:38.4,2.0,1.0,on/off road
740.0,01:39.5,2.0,1.0,on/off road
742.0,01:39.5,2.0,1.0,on/off road
744.0,01:41.1,3.0,2.0,on/off road
747.0,01:42.0,3.0,2.0,on/off road
749.0,01:42.1,3.0,2.0,on/off road
752.0,01:45.5,5.0,0.0,on/off road
753.0,01:47.1,5.0,0.0,on/off road
754.0,01:47.2,5.0,0.0,on/off road
760.0,01:47.7,8.0,3.0,on/off road
761.0,01:47.7,8.0,3.0,on/off road
762.0,01:47.7,8.0,3.0,on/off road
763.0,01:47.7,8.0,3.0,on/off road
764.0,01:47.7,8.0,3.0,on/off road
767.0,01:47.9,7.0,3.0,vehicle
768.0,01:48.1,7.0,3.0,vehicle
772.0,01:48.4,5.0,1.0,on/off road
773.0,01:48.6,5.0,1.0,on/off road
776.0,01:48.6,5.0,2.0,on/off road
777.0,01:48.8,5.0,2.0,on/off road
779.0,01:49.9,5.0,2.0,on/off road
780.0,01:50.0,5.0,2.0,on/off road
781.0,01:50.1,5.0,2.0,on/off road
782.0,01:50.1,5.0,2.0,on/off road
783.0,01:50.2,5.0,2.0,on/off road
785.0,01:50.3,7.0,1.0,on/off road
786.0,01:50.4,7.0,1.0,on/off road
787.0,01:50.5,7.0,1.0,on/off road
