0,1,2,3,4
1196,00:00:23.126,3,1,on/off road
1197,00:00:23.146,3,1,on/off road
1198,00:00:23.166,3,1,on/off road
1201,00:00:23.226,2,1,on/off road
1202,00:00:23.246,2,1,on/off road
1204,00:00:23.366,2,1,on/off road
1207,00:00:23.386,2,1,on/off road
1208,00:00:23.466,2,0,on/off road
1211,00:00:23.506,4,1,on/off road
1212,00:00:23.526,4,1,on/off road
1213,00:00:23.566,4,1,on/off road
1216,00:00:23.625,5,0,on/off road
1217,00:00:23.665,5,0,on/off road
1221,00:00:23.765,5,0,on/off road
1224,00:00:23.805,5,0,on/off road
1225,00:00:23.825,5,0,on/off road
1226,00:00:23.845,5,0,on/off road
1227,00:00:23.865,5,0,on/off road
1229,00:00:23.905,5,0,on/off road
1230,00:00:23.925,5,0,on/off road
1231,00:00:23.945,5,0,on/off road
1233,00:00:23.965,5,0,on/off road
1236,00:00:24.005,4,0,on/off road
1237,00:00:24.065,4,0,on/off road
1238,00:00:24.085,4,0,on/off road
1240,00:00:24.145,4,0,on/off road
1241,00:00:24.165,4,0,on/off road
1243,00:00:24.185,4,0,on/off road
1244,00:00:24.205,4,0,on/off road
1245,00:00:24.225,4,0,on/off road
1246,00:00:24.245,4,0,on/off road
1247,00:00:24.265,4,0,on/off road
1250,00:00:24.325,5,0,on/off road
1251,00:00:24.345,5,0,on/off road
1252,00:00:24.365,5,0,on/off road
1256,00:00:24.425,4,0,on/off road
1257,00:00:24.445,4,0,on/off road
1258,00:00:24.465,4,0,on/off road
1260,00:00:24.505,5,0,on/off road
1261,00:00:24.545,5,0,on/off road
1262,00:00:24.565,5,0,on/off road
1264,00:00:24.605,5,0,on/off road
1266,00:00:24.625,5,0,on/off road
1267,00:00:24.645,5,0,on/off road
1268,00:00:24.665,5,0,on/off road
1271,00:00:24.765,4,0,on/off road
1272,00:00:24.805,4,0,on/off road
1273,00:00:24.825,4,0,on/off road
1275,00:00:24.865,4,0,on/off road
1277,00:00:24.925,4,0,on/off road
1281,00:00:25.045,4,1,on/off road
1282,00:00:25.065,4,1,on/off road
1285,00:00:25.085,6,1,on/off road
1286,00:00:25.105,6,1,on/off road
1287,00:00:25.125,6,1,on/off road
1288,00:00:25.145,6,1,on/off road
1289,00:00:25.165,6,1,on/off road
1291,00:00:25.185,3,1,on/off road
1292,00:00:25.244,3,1,on/off road
1293,00:00:25.264,3,1,on/off road
1297,00:00:25.364,6,1,on/off road
1298,00:00:25.384,6,1,on/off road
1300,00:00:25.404,4,1,on/off road
1301,00:00:25.464,4,1,on/off road
1302,00:00:25.484,4,1,on/off road
1305,00:00:25.544,3,1,on/off road
1306,00:00:25.564,3,1,on/off road
1308,00:00:25.584,3,1,on/off road
1310,00:00:25.644,5,1,on/off road
1311,00:00:25.684,5,1,on/off road
1314,00:00:25.764,6,1,on/off road
1315,00:00:25.784,6,1,on/off road
1318,00:00:25.844,6,1,on/off road
1319,00:00:25.884,6,1,on/off road
1322,00:00:25.924,5,1,on/off road
1323,00:00:25.944,5,1,on/off road
1325,00:00:25.964,5,1,on/off road
1327,00:00:25.984,5,1,on/off road
